"Cryptocurrency","Model","AIC","BIC","LogLikelihood"
"BNB","EGARCH(1,1)",-4.133,-4.1179,4692.8516
"BNB","GARCH(1,1)",-4.1316,-4.119,4690.2478
"BNB","GJR-GARCH(1,1)",-4.1312,-4.116,4690.7447
"BTC","EGARCH(1,1)",-4.4318,-4.4166,5031.6607
"BTC","GARCH(1,1)",-4.4299,-4.4173,5028.5422
"BTC","GJR-GARCH(1,1)",-4.4294,-4.4142,5028.8924
"ETH","EGARCH(1,1)",-3.8232,-3.8081,4341.5266
"ETH","GJR-GARCH(1,1)",-3.8168,-3.8016,4334.2099
"ETH","GARCH(1,1)",-3.8167,-3.804,4333.0964
"SOL","GARCH(1,1)",-3.0436,-3.031,3456.4414
"SOL","GJR-GARCH(1,1)",-3.0428,-3.0276,3456.5323
"SOL","EGARCH(1,1)",-3.0401,-3.0249,3453.4319
